mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,crackle,wheeze
-527.3826,92.48876,67.20297,46.900906,31.332144,23.493683,19.48881,16.007978,12.236258,10.115488,10.803177,13.028848,13.934649,0.0,0.0
-529.98267,85.89956,65.768715,46.76753,33.315063,26.17591,21.858564,17.754728,13.80016,11.598614,11.692534,12.475815,11.672114,0.0,0.0
-527.879,85.511444,62.14039,41.13203,27.738373,23.145422,22.380272,20.862968,17.83101,15.368678,14.471346,13.798214,11.43994,0.0,0.0
-534.743,83.106346,64.383736,46.20787,32.869026,25.808401,22.062836,18.992786,16.023464,14.033015,13.19154,12.353029,10.327916,0.0,0.0
-561.407,87.224495,67.28635,47.334213,32.160347,24.25679,20.98775,19.198833,17.475267,16.149149,15.288566,13.951024,11.216341,0.0,0.0
-553.8149,91.06331,68.06322,46.038013,30.91827,24.048037,21.016733,18.089947,14.923389,13.3777275,13.820867,14.112782,11.937065,0.0,0.0
-561.1998,104.223274,69.067154,38.921856,24.474987,23.724735,24.726189,20.325224,13.32985,10.519963,13.390745,16.666265,14.785509,0.0,0.0
-556.3496,92.128426,66.75868,43.565662,29.942293,25.862621,24.372831,20.497448,14.895873,11.447714,11.808664,13.5071745,12.750079,0.0,0.0
-571.18866,111.35192,67.28783,34.61894,22.551287,24.73592,26.506481,21.124817,12.8161745,9.464737,12.984508,16.851908,14.989932,0.0,0.0
-573.7359,93.70612,69.3019,46.12216,30.454426,23.9601,21.685228,19.26098,16.140356,14.406876,14.750179,15.212249,13.309632,0.0,0.0
-575.477,102.87023,69.50341,40.51615,25.458822,23.278746,23.91962,20.84218,15.292949,12.258006,13.31994,15.027239,13.153471,0.0,0.0
-549.87024,99.31898,66.07053,38.124496,24.169249,23.210377,24.807701,21.927977,15.631742,11.539392,12.255846,14.710283,14.016208,0.0,0.0
-604.369,82.36214,51.485836,28.518301,22.36722,29.142977,34.888813,31.531363,22.457535,16.238867,16.116701,17.621586,15.078914,0.0,0.0
-603.1706,83.07538,58.837475,37.00089,26.028898,25.507975,27.768587,26.354156,20.886593,15.49179,13.176415,12.902745,11.668674,0.0,0.0
-622.6353,89.358665,58.153404,32.237278,22.713448,26.323805,30.98007,28.70467,21.298843,15.545634,14.602758,15.526556,13.848822,0.0,0.0
-598.37933,83.776726,56.911114,33.11402,21.679928,22.101929,26.293781,27.148623,23.472052,18.827688,16.387583,15.587172,13.771186,0.0,0.0
-620.2017,98.48136,62.935345,32.751858,20.434528,24.140057,30.769056,30.426546,23.24929,15.976607,13.168931,13.316425,12.172703,0.0,0.0
-628.15234,100.499565,64.330986,33.583824,20.650072,23.096376,28.372797,27.700775,21.532679,15.717776,13.768058,13.776116,11.969202,0.0,0.0
-621.8461,97.18154,58.0877,27.056828,17.177568,24.293652,32.36075,30.941952,22.066984,14.655947,13.727336,16.074862,15.421625,0.0,0.0
-616.9926,95.482704,60.6611,30.899097,18.782833,22.781893,29.94182,30.198704,23.43933,16.237509,13.380346,13.744811,13.18309,0.0,0.0
-621.5292,93.95293,62.83776,35.26898,21.596865,21.90537,26.87943,27.954733,23.424635,17.346119,13.683406,12.511381,11.226978,0.0,0.0
-587.6832,91.6076,63.62634,37.45733,23.372412,21.85402,24.756126,24.561718,19.868853,14.395192,11.630842,11.334718,10.766669,0.0,0.0
-600.45953,118.45896,69.497246,32.29084,20.10572,26.212801,32.702335,28.892254,17.483559,8.601477,7.953592,11.571237,11.696362,0.0,0.0
-600.268,98.33128,57.061977,23.760338,12.937245,21.230644,32.04841,33.205654,24.496168,13.593897,7.0245214,5.8862367,7.4337664,0.0,0.0
-634.1665,130.83385,66.936455,22.5697,15.028237,28.675163,37.60992,31.957895,18.324434,7.407862,3.3247988,3.4343965,4.361911,0.0,0.0
-662.9072,124.557976,61.645226,20.842583,13.745047,26.336395,37.38589,34.71028,21.931223,9.431692,3.3667974,3.413307,6.0327077,0.0,0.0
-637.57086,128.7594,67.54532,22.583906,11.826832,24.690594,36.733257,34.219242,20.301575,6.5244637,0.34071946,1.2151536,4.7596383,0.0,0.0
-627.8189,126.992584,69.67349,24.716433,11.3477955,22.54754,35.011585,33.6431,20.5081,6.788606,0.18261933,0.5523926,3.8259873,0.0,0.0
-620.7293,113.61958,66.78333,27.9198,14.441052,22.791346,33.99623,33.691723,21.95391,8.519501,1.6100045,2.1194718,5.7853165,0.0,0.0
-643.8897,115.64925,67.22349,29.48523,18.433928,27.008463,36.001373,33.1987,20.498056,7.4785657,1.2948779,2.0666444,5.5653253,0.0,0.0
-626.1593,106.05767,66.553986,31.54132,17.45055,22.447924,31.770624,32.326714,22.788097,10.706526,3.6144586,3.1427164,6.006433,0.0,0.0
-641.4831,107.04973,65.004135,30.047766,17.08604,23.44319,33.226395,33.524914,23.158712,9.980443,1.9195398,1.0671378,4.4035263,0.0,0.0
-658.63477,120.45577,68.091805,28.814964,17.221954,25.25135,34.35025,32.4165,20.761236,8.377366,2.072158,2.4653738,5.7553883,0.0,0.0
-657.704,125.45852,73.377785,34.687744,20.443844,24.390888,30.91344,28.8382,18.183187,6.528623,0.4963987,1.1897258,4.7951245,0.0,0.0
-640.25525,117.5384,68.825516,31.299818,18.826965,24.443354,30.879198,28.161505,17.640419,7.2493424,2.9838119,4.3978534,7.061741,0.0,0.0
-586.219,160.3689,96.72072,45.117844,16.659481,12.341618,15.571955,14.1412735,7.0074596,0.79503214,-0.41340816,1.8469632,3.8339596,0.0,0.0
-423.38666,66.41091,50.178448,35.486324,27.576893,25.472284,24.260458,20.99342,16.663647,13.55489,12.271428,11.530648,10.218166,0.0,1.0
-432.98203,57.893757,45.539337,33.917328,27.02096,24.495365,23.190498,20.947151,18.154747,16.20099,15.367584,14.701474,13.373531,0.0,0.0
-432.9564,60.64872,46.766212,34.00602,26.48655,24.121365,23.314423,21.406265,18.510849,16.096912,14.752856,13.829239,12.569669,0.0,1.0
-428.0893,63.24626,47.693523,34.1831,27.32873,25.772564,24.60355,21.291645,17.274326,15.019225,14.689648,14.444923,12.917097,0.0,1.0
